area Id,x,y,z,heading_circle,from_loc,to_loc
1550279253513,-5567647,-852392,524706,-12315,INT_24,INT_12
1550279253513,-5562234,-864477,524641,-11768,INT_24,INT_12
1550279253513,-5551409,-885455,524634,-11555,INT_24,INT_12
1550279253513,-5537679,-911389,524495,-11233,INT_24,INT_12
1550279253513,-5529836,-926258,524401,-11123,INT_24,INT_12
1550279253513,-5522277,-940246,524271,-11372,INT_24,INT_12
1550279614177,-5542393,-971786,524608,21059,INT_12,INT_24
1550279614177,-5554115,-946614,524724,21025,INT_12,INT_24
1550279614177,-5562294,-929284,524883,20949,INT_12,INT_24
1550279614177,-5574757,-902728,524870,21001,INT_12,INT_24
1550279614177,-5586194,-878623,524875,20808,INT_12,INT_24
1550458931860,-6012579,-9820,509083,-14461,INT_32,INT_31
1550458931860,-6007874,-38297,509450,-14567,INT_32,INT_31
1550458931860,-6003668,-60351,509403,-14368,INT_32,INT_31
1550458931860,-6001022,-73615,509421,-14545,INT_32,INT_31
1550464667667,-6032739,-89915,509215,18315,INT_31,INT_32
1550464667667,-6037919,-61475,509192,18255,INT_31,INT_32
1550464667667,-6043039,-33192,509038,18295,INT_31,INT_32
1550464667667,-6047563,-9904,509140,18339,INT_31,INT_32
1550874458476,-5995436,-73866,509306,2226,INT_31,INT_43
1550874458476,-5977751,-68622,508803,3118,INT_31,INT_43
1550874458476,-5949274,-59275,508967,3348,INT_31,INT_43
1550874458476,-5922366,-50086,509591,3434,INT_31,INT_43
1550874458476,-5901232,-43115,510087,3171,INT_31,INT_43
1550874458476,-5890476,-39940,510272,2799,INT_31,INT_43
1550874458476,-5882434,-38056,510428,2131,INT_31,INT_43
1550874458476,-5874772,-36812,510523,1329,INT_31,INT_43
1550874458476,-5867403,-36265,510641,553,INT_31,INT_43
1551145245072,-5856466,-44990,510834,-13698,INT_43,INT_39
1551145245072,-5852346,-61363,511012,-14027,INT_43,INT_39
1551145245072,-5850975,-68603,511034,-15045,INT_43,INT_39
1551145245072,-5850587,-73922,510931,-16037,INT_43,INT_39
1551145310279,-5864429,-71787,510795,18847,INT_39,INT_43
1551145310279,-5870006,-49501,510720,19301,INT_39,INT_43
1551145310279,-5870359,-48266,510715,19193,INT_39,INT_43
1551145390650,-5890372,-53047,510453,-29970,INT_43,INT_31
1551145390650,-5900913,-56407,510293,-29355,INT_43,INT_31
1551145390650,-5927054,-65698,509851,-29328,INT_43,INT_31
1551145390650,-5944507,-71165,509572,-29802,INT_43,INT_31
1551145390650,-5964434,-77273,509178,-29551,INT_43,INT_31
1551145390650,-5985275,-83909,509287,-29354,INT_43,INT_31
1551145390650,-5988386,-84995,509292,-29268,INT_43,INT_31
1551145474873,-5978457,-99466,509152,1327,INT_31,INT_39
1551145474873,-5963460,-97331,509158,1600,INT_31,INT_39
1551145474873,-5944887,-94426,509406,1424,INT_31,INT_39
