Truck,TimeStamp,X,Y
T118,05 Jun 2024 14:59:55:000,517811.1515,7499450.996
T118,05 Jun 2024 15:00:21:000,517642.7839,7499506.535
T118,05 Jun 2024 15:00:47:000,517585.8451,7499644.965
T118,05 Jun 2024 15:01:13:000,517591.572,7499660.333
T118,05 Jun 2024 15:01:38:000,517597.2816,7499660.327
T118,05 Jun 2024 15:02:04:000,517577.3467,7499703.396
T118,05 Jun 2024 15:02:30:000,517580.2293,7499727.992
T118,05 Jun 2024 15:02:56:000,517591.6903,7499764.876
T118,05 Jun 2024 15:03:21:000,517623.1176,7499786.365
T118,05 Jun 2024 15:03:45:000,517648.8284,7499801.709
T118,05 Jun 2024 15:04:10:000,517648.8284,7499801.709
T118,05 Jun 2024 15:04:35:000,517648.8284,7499801.709
T118,05 Jun 2024 15:05:00:000,517648.8284,7499801.709
T118,05 Jun 2024 15:05:24:000,517648.8284,7499801.709
T118,05 Jun 2024 15:05:49:000,517648.8284,7499801.709
T118,05 Jun 2024 15:06:14:000,517648.8284,7499801.709
T118,05 Jun 2024 15:06:39:000,517648.8284,7499801.709
T118,05 Jun 2024 15:07:03:000,517648.8284,7499801.709
T118,05 Jun 2024 15:07:28:000,517648.8284,7499801.709
T118,05 Jun 2024 15:07:53:000,517605.9678,7499767.935
T118,05 Jun 2024 15:08:18:000,517594.4686,7499697.228
T118,05 Jun 2024 15:08:42:000,517608.6555,7499620.341
T118,05 Jun 2024 15:09:07:000,517631.4066,7499543.445
T118,05 Jun 2024 15:09:32:000,517699.8616,7499491.096
T118,05 Jun 2024 15:09:57:000,517776.9191,7499472.559
T118,05 Jun 2024 15:10:21:000,517911.1139,7499490.854
T118,05 Jun 2024 15:10:46:000,518011.084,7499536.86
T118,05 Jun 2024 15:11:12:000,518079.6485,7499579.828
T118,05 Jun 2024 15:11:36:000,518113.9954,7499656.658
T118,05 Jun 2024 15:12:02:000,518162.6131,7499730.397
T118,05 Jun 2024 15:12:26:000,518211.2492,7499819.51
T118,05 Jun 2024 15:12:51:000,518313.9612,7499767.117
T118,05 Jun 2024 15:13:16:000,518391.0157,7499745.503
T118,05 Jun 2024 15:13:42:000,518470.9722,7499763.857
T118,05 Jun 2024 15:14:06:000,518556.6129,7499760.68
T118,05 Jun 2024 15:14:32:000,518647.9299,7499729.822
T118,05 Jun 2024 15:14:57:000,518776.4667,7499788.089
T118,05 Jun 2024 15:15:22:000,518773.8163,7499957.207
T118,05 Jun 2024 15:15:48:000,518739.6916,7500067.941
T118,05 Jun 2024 15:16:12:000,518842.4743,7500073.966
T118,05 Jun 2024 15:16:37:000,519027.9165,7499972.271
T118,05 Jun 2024 15:17:02:000,519261.8998,7499879.739
T118,05 Jun 2024 15:17:28:000,519336.0067,7499784.328
T118,05 Jun 2024 15:17:53:000,519378.756,7499725.853
T118,05 Jun 2024 15:18:18:000,519441.2307,7499461.341
T118,05 Jun 2024 15:18:43:000,519303.8279,7499160.181
T118,05 Jun 2024 15:19:07:000,519063.8898,7499043.635
T118,05 Jun 2024 15:19:32:000,518746.876,7498924.103
T118,05 Jun 2024 15:19:57:000,518427.0088,7498801.493
