Truck,Timestamp,X,Y
T118,06 Jun 2024 09:00:00:000,522247.723,7501634.534
T118,06 Jun 2024 09:00:24:000,522156.3843,7501653.113
T118,06 Jun 2024 09:00:49:000,522053.6159,7501665.559
T118,06 Jun 2024 09:01:15:000,522028.0942,7501788.587
T118,06 Jun 2024 09:01:39:000,522187.9187,7501742.237
T118,06 Jun 2024 09:02:05:000,522322.2316,7501825.064
T118,06 Jun 2024 09:02:29:000,522496.5725,7501944.73
T118,06 Jun 2024 09:02:55:000,522730.7634,7501987.435
T118,06 Jun 2024 09:03:20:000,522976.372,7502027.045
T118,06 Jun 2024 09:03:45:000,523244.9114,7502125.039
T118,06 Jun 2024 09:04:09:000,523556.2365,7502192.214
T118,06 Jun 2024 09:04:35:000,523821.861,7502247.154
T118,06 Jun 2024 09:05:00:000,524016.0815,7502286.827
T118,06 Jun 2024 09:05:25:000,524335.9743,7502350.898
T118,06 Jun 2024 09:05:50:000,524613.0207,7502402.732
T118,06 Jun 2024 09:06:16:000,524844.3693,7502445.41
T118,06 Jun 2024 09:06:40:000,525149.9773,7502500.263
T118,06 Jun 2024 09:07:05:000,525484.1307,7502548.913
T118,06 Jun 2024 09:07:30:000,525686.8336,7502533.204
T118,06 Jun 2024 09:07:56:000,525695.2005,7502413.273
T118,06 Jun 2024 09:08:22:000,525731.9923,7502216.425
T118,06 Jun 2024 09:08:47:000,525794.5059,7502034.907
T118,06 Jun 2024 09:09:12:000,525794.0499,7501761.251
T118,06 Jun 2024 09:09:38:000,525802.2208,7501524.477
T118,06 Jun 2024 09:10:03:000,525762.0953,7501432.3
T118,06 Jun 2024 09:10:27:000,525893.2611,7501330.612
T118,06 Jun 2024 09:10:52:000,526112.9224,7501222.625
T118,06 Jun 2024 09:11:17:000,526329.7517,7501130.014
T118,06 Jun 2024 09:11:42:000,526429.5897,7501077.572
T118,06 Jun 2024 09:12:06:000,526335.1792,7500963.965
T118,06 Jun 2024 09:12:31:000,526117.9216,7500801.368
T118,06 Jun 2024 09:12:56:000,525823.7536,7500740.366
T118,06 Jun 2024 09:13:21:000,525603.848,7500697.684
T118,06 Jun 2024 09:13:45:000,525329.6739,7500639.713
T118,06 Jun 2024 09:14:10:000,525115.5309,7500627.763
T118,06 Jun 2024 09:14:35:000,525110.0105,7500744.615
T118,06 Jun 2024 09:15:00:000,525124.5549,7500910.631
T118,06 Jun 2024 09:15:25:000,525018.9837,7500950.774
T118,06 Jun 2024 09:15:50:000,524910.6062,7501021.669
T118,06 Jun 2024 09:16:14:000,524765.0629,7501061.875
T118,06 Jun 2024 09:16:39:000,524628.0008,7501049.795
T118,06 Jun 2024 09:17:04:000,524493.7794,7501028.484
T118,06 Jun 2024 09:17:29:000,524419.5628,7501037.826
T118,06 Jun 2024 09:17:53:000,524419.5628,7501037.826
T118,06 Jun 2024 09:18:18:000,524419.5628,7501037.826
T118,06 Jun 2024 09:18:43:000,524419.5628,7501037.826
T118,06 Jun 2024 09:19:08:000,524419.5628,7501037.826
T118,06 Jun 2024 09:19:33:000,524419.5628,7501037.826
T118,06 Jun 2024 09:19:58:000,524391.1092,7501099.367
T118,06 Jun 2024 09:20:22:000,524388.2638,7501105.521
T118,06 Jun 2024 09:20:48:000,524368.2832,7501108.627
T118,06 Jun 2024 09:21:13:000,524368.2832,7501108.627
T118,06 Jun 2024 09:21:37:000,524371.1383,7501108.622
T118,06 Jun 2024 09:22:02:000,524393.9449,7501087.063
T118,06 Jun 2024 09:22:27:000,524502.3738,7501046.919
T118,06 Jun 2024 09:22:52:000,524676.5759,7501074.316
T118,06 Jun 2024 09:23:17:000,524907.7957,7501049.347
T118,06 Jun 2024 09:23:42:000,525067.5341,7500959.92
T118,06 Jun 2024 09:24:07:000,525152.9853,7500836.789
T118,06 Jun 2024 09:24:34:000,525138.4107,7500652.324
T118,06 Jun 2024 09:25:00:000,525289.7294,7500655.153
T118,06 Jun 2024 09:25:24:000,525638.1486,7500722.225
T118,06 Jun 2024 09:25:49:000,526009.4211,7500795.401
T118,06 Jun 2024 09:26:14:000,526283.7469,7500939.454
T118,06 Jun 2024 09:26:39:000,526395.329,7501077.63
T118,06 Jun 2024 09:27:03:000,526252.6493,7501120.92
T118,06 Jun 2024 09:27:28:000,526035.8972,7501259.653
T118,06 Jun 2024 09:27:53:000,525796.2491,7501367.672
T118,06 Jun 2024 09:28:18:000,525756.5027,7501503.03
T118,06 Jun 2024 09:28:43:000,525765.3036,7501644.456
T118,06 Jun 2024 09:29:08:000,525777.0417,7501835.074
T118,06 Jun 2024 09:29:33:000,525743.26,7502124.162
T118,06 Jun 2024 09:29:58:000,525680.8475,7502367.175
T118,06 Jun 2024 09:30:22:000,525672.4754,7502484.031
T118,06 Jun 2024 09:30:47:000,525749.6968,7502560.773
T118,06 Jun 2024 09:31:12:000,526032.4108,7502581.824
T118,06 Jun 2024 09:31:37:000,526335.1286,7502612.06
T118,06 Jun 2024 09:32:01:000,526492.1724,7502611.792
T118,06 Jun 2024 09:32:27:000,526520.7258,7502611.743
T118,06 Jun 2024 09:32:52:000,526592.0935,7502602.396
T118,06 Jun 2024 09:33:17:000,526703.4305,7502589.905
T118,06 Jun 2024 09:33:42:000,526786.2086,7502574.388
T118,06 Jun 2024 09:34:07:000,526966.0625,7502555.627
T118,06 Jun 2024 09:34:32:000,527225.7894,7502493.676
T118,06 Jun 2024 09:34:56:000,527494.1129,7502450.154
T118,06 Jun 2024 09:35:22:000,527728.2374,7502443.587
T118,06 Jun 2024 09:35:47:000,527953.8402,7502461.63
T118,06 Jun 2024 09:36:12:000,528205.1246,7502470.398
T118,06 Jun 2024 09:36:37:000,528270.9598,7502559.447
T118,06 Jun 2024 09:37:02:000,528356.6931,7502599.262
T118,06 Jun 2024 09:37:27:000,528493.772,7502611.31
T118,06 Jun 2024 09:37:52:000,528582.3899,7502666.493
T118,06 Jun 2024 09:38:18:000,528539.7752,7502783.414
T118,06 Jun 2024 09:38:43:000,528548.3811,7502804.921
T118,06 Jun 2024 09:39:08:000,528554.1089,7502814.135
T118,06 Jun 2024 09:39:33:000,528565.5474,7502823.339
T118,06 Jun 2024 09:39:58:000,528565.5474,7502823.339
T118,06 Jun 2024 09:40:23:000,528565.5474,7502823.339
T118,06 Jun 2024 09:40:48:000,528565.5474,7502823.339
T118,06 Jun 2024 09:41:13:000,528565.5474,7502823.339
T118,06 Jun 2024 09:41:38:000,528565.5474,7502823.339
T118,06 Jun 2024 09:42:03:000,528565.5474,7502823.339
T118,06 Jun 2024 09:42:27:000,528565.5474,7502823.339
T118,06 Jun 2024 09:42:52:000,528565.5474,7502823.339
T118,06 Jun 2024 09:43:17:000,528628.4625,7502875.494
T118,06 Jun 2024 09:43:42:000,528642.7964,7502906.215
T118,06 Jun 2024 09:44:07:000,528642.7964,7502906.215
T118,06 Jun 2024 09:44:32:000,528642.7964,7502906.215
T118,06 Jun 2024 09:44:56:000,528642.7964,7502906.215
T118,06 Jun 2024 09:45:22:000,528642.7964,7502906.215
T118,06 Jun 2024 09:45:47:000,528642.7964,7502906.215
T118,06 Jun 2024 09:46:12:000,528642.7964,7502906.215
T118,06 Jun 2024 09:46:37:000,528642.7964,7502906.215
T118,06 Jun 2024 09:47:02:000,528679.9223,7502909.221
T118,06 Jun 2024 09:47:27:000,528702.794,7502924.553
T118,06 Jun 2024 09:47:53:000,528702.794,7502924.553
T118,06 Jun 2024 09:48:18:000,528662.7557,7502890.804
T118,06 Jun 2024 09:48:45:000,528576.9405,7502807.944
T118,06 Jun 2024 09:49:09:000,528590.9957,7502688
T118,06 Jun 2024 09:49:34:000,528542.2901,7502598.921
T118,06 Jun 2024 09:49:59:000,528393.7843,7502583.82
T118,06 Jun 2024 09:50:25:000,528282.3249,7502528.678
T118,06 Jun 2024 09:50:50:000,528193.6697,7502451.97
T118,06 Jun 2024 09:51:16:000,527948.0851,7502437.041
T118,06 Jun 2024 09:51:41:000,527739.6145,7502418.968
T118,06 Jun 2024 09:52:07:000,527496.9354,7502431.7
T118,06 Jun 2024 09:52:33:000,527237.1674,7502469.058
T118,06 Jun 2024 09:52:58:000,526986.0016,7502527.919
T118,06 Jun 2024 09:53:24:000,526680.5507,7502568.421
T118,06 Jun 2024 09:53:49:000,526357.9295,7502587.423
T118,06 Jun 2024 09:54:15:000,526218.0024,7502578.436
T118,06 Jun 2024 09:54:40:000,526018.0979,7502560.324
T118,06 Jun 2024 09:55:06:000,525781.0696,7502539.197
T118,06 Jun 2024 09:55:33:000,525698.163,7502477.839
T118,06 Jun 2024 09:55:58:000,525714.9782,7502287.174
T118,06 Jun 2024 09:56:23:000,525780.3168,7502087.203
T118,06 Jun 2024 09:56:48:000,525805.6757,7501884.223
T118,06 Jun 2024 09:57:13:000,525788.2063,7501681.316
T118,06 Jun 2024 09:57:38:000,525799.3451,7501512.183
T118,06 Jun 2024 09:58:02:000,525764.9402,7501426.145
T118,06 Jun 2024 09:58:27:000,525913.2314,7501321.355
T118,06 Jun 2024 09:58:52:000,526124.322,7501210.307
T118,06 Jun 2024 09:59:17:000,526246.9861,7501148.603
T118,06 Jun 2024 09:59:42:000,526355.442,7501126.895
T135,06 Jun 2024 09:00:13:000,525153.1002,7500907.51
T135,06 Jun 2024 09:00:39:000,525132.7806,7500701.53
T135,06 Jun 2024 09:01:04:000,525189.7752,7500636.867
T135,06 Jun 2024 09:01:29:000,525461.0786,7500685.62
T135,06 Jun 2024 09:01:55:000,525803.7892,7500752.698
T135,06 Jun 2024 09:02:22:000,526163.6745,7500844.338
