Truck,TimeStamp,X,Y
T118,05 Jun 2024 14:59:55:000,517811.1515,7499450.996
T118,05 Jun 2024 15:00:21:000,517642.7839,7499506.535
T118,05 Jun 2024 15:00:47:000,517585.8451,7499644.965
T118,05 Jun 2024 15:01:13:000,517591.572,7499660.333
T118,05 Jun 2024 15:01:38:000,517597.2816,7499660.327
T118,05 Jun 2024 15:02:04:000,517577.3467,7499703.396
T118,05 Jun 2024 15:02:30:000,517580.2293,7499727.992
T118,05 Jun 2024 15:02:56:000,517591.6903,7499764.876
T118,05 Jun 2024 15:03:21:000,517623.1176,7499786.365
T118,05 Jun 2024 15:03:45:000,517648.8284,7499801.709
T118,05 Jun 2024 15:04:10:000,517648.8284,7499801.709
T118,05 Jun 2024 15:04:35:000,517648.8284,7499801.709
T118,05 Jun 2024 15:05:00:000,517648.8284,7499801.709
T118,05 Jun 2024 15:05:24:000,517648.8284,7499801.709
T118,05 Jun 2024 15:05:49:000,517648.8284,7499801.709
T118,05 Jun 2024 15:06:14:000,517648.8284,7499801.709
T118,05 Jun 2024 15:06:39:000,517648.8284,7499801.709
T118,05 Jun 2024 15:07:03:000,517648.8284,7499801.709
T118,05 Jun 2024 15:07:28:000,517648.8284,7499801.709
T118,05 Jun 2024 15:07:53:000,517605.9678,7499767.935
T118,05 Jun 2024 15:08:18:000,517594.4686,7499697.228
T118,05 Jun 2024 15:08:42:000,517608.6555,7499620.341
T118,05 Jun 2024 15:09:07:000,517631.4066,7499543.445
T118,05 Jun 2024 15:09:32:000,517699.8616,7499491.096
T118,05 Jun 2024 15:09:57:000,517776.9191,7499472.559
T118,05 Jun 2024 15:10:21:000,517911.1139,7499490.854
